date,y
2019-05-17,1.599
2019-05-16,1.637
2019-05-15,1.621
2019-05-14,1.55
2019-05-13,1.563
2019-05-10,1.572
2019-05-09,1.508
2019-05-08,1.537
2019-05-07,1.563
2019-05-06,1.537
2019-04-30,1.64
2019-04-29,1.636
2019-04-26,1.623
2019-04-25,1.64
2019-04-24,1.655
2019-04-23,1.649
2019-04-22,1.637
2019-04-19,1.652
2019-04-18,1.632
2019-04-17,1.622
2019-04-16,1.606
2019-04-15,1.586
2019-04-12,1.591
2019-04-11,1.595
2019-04-10,1.633
2019-04-09,1.608
2019-04-08,1.599
2019-04-04,1.603
2019-04-03,1.568
2019-04-02,1.567
2019-04-01,1.586
2019-03-29,1.541
2019-03-28,1.477
2019-03-27,1.456
2019-03-26,1.424
2019-03-25,1.42
2019-03-22,1.448
2019-03-21,1.45
2019-03-20,1.454
2019-03-19,1.466
2019-03-18,1.47
2019-03-15,1.402
2019-03-14,1.362
2019-03-13,1.371
2019-03-12,1.4
2019-03-11,1.383
2019-03-08,1.351
2019-03-07,1.362
2019-03-06,1.391
2019-03-05,1.397
2019-03-04,1.386
2019-03-01,1.355
2019-02-28,1.318
2019-02-27,1.319
2019-02-26,1.322
2019-02-25,1.336
2019-02-22,1.306
2019-02-21,1.301
2019-02-20,1.297
2019-02-19,1.295
2019-02-18,1.3
2019-02-15,1.257
2019-02-14,1.267
2019-02-13,1.256
2019-02-12,1.25
2019-02-11,1.242
2019-02-01,1.191
2019-01-31,1.176
2019-01-30,1.164
2019-01-29,1.179
2019-01-28,1.167
2019-01-25,1.165
2019-01-24,1.16
2019-01-23,1.155
2019-01-22,1.145
2019-01-21,1.161
2019-01-18,1.153
2019-01-17,1.121
2019-01-16,1.124
2019-01-15,1.127
2019-01-14,1.093
2019-01-11,1.1
2019-01-10,1.087
2019-01-09,1.089
2019-01-08,1.072
2019-01-07,1.076
2019-01-04,1.065
2019-01-03,1.045
2019-01-02,1.06
2018-12-31,1.082
2018-12-28,1.082
2018-12-27,1.066
2018-12-26,1.069
2018-12-25,1.076
2018-12-24,1.078
2018-12-21,1.064
2018-12-20,1.075
2018-12-19,1.074
2018-12-18,1.096
2018-12-17,1.1
2018-12-14,1.106
2018-12-13,1.124
2018-12-12,1.105
2018-12-11,1.095
2018-12-10,1.093
2018-12-07,1.104
2018-12-06,1.113
2018-12-05,1.141
2018-12-04,1.131
2018-12-03,1.127
2018-11-30,1.09
2018-11-29,1.075
2018-11-28,1.076
2018-11-27,1.06
2018-11-26,1.067
2018-11-23,1.069
2018-11-22,1.083
2018-11-21,1.085
2018-11-20,1.079
2018-11-19,1.103
2018-11-16,1.097
2018-11-15,1.097
2018-11-14,1.095
2018-11-13,1.106
2018-11-12,1.077
2018-11-09,1.071
2018-11-08,1.079
2018-11-07,1.081
2018-11-06,1.088
2018-11-05,1.095
2018-11-02,1.109
2018-11-01,1.061
2018-10-31,1.041
2018-10-30,1.011
2018-10-29,1.024
2018-10-26,1.074
2018-10-25,1.093
2018-10-24,1.11
2018-10-23,1.127
2018-10-22,1.172
2018-10-19,1.126
2018-10-18,1.087
2018-10-17,1.115
2018-10-16,1.112
2018-10-15,1.122
2018-10-12,1.145
2018-10-11,1.117
2018-10-10,1.154
2018-10-09,1.172
2018-10-08,1.17
2018-09-28,1.221
2018-09-27,1.213
2018-09-26,1.217
2018-09-25,1.189
2018-09-21,1.191
2018-09-20,1.161
2018-09-19,1.157
2018-09-18,1.126
2018-09-17,1.102
2018-09-14,1.11
2018-09-13,1.101
2018-09-12,1.103
2018-09-11,1.121
2018-09-10,1.122
2018-09-07,1.129
2018-09-06,1.114
2018-09-05,1.133
2018-09-04,1.158
2018-09-03,1.15
